UF,Total (1 000 pessoas),Total (1 000 pessoas) CV (%),Branca  (Total),Branca CV (%),Preta Total,Preta CV (%),Parda (Total),Parda CV (%),Amarela ou indígena (Total),Amarela ou indígena CV (%),Ano:
Rio Grande do Sul,11100,997999999923,-,82,918816282066217,0,8160407448752075,5,9126218692131491,7,6232688523747747,10,877740701826369,4,1926596961810683,0,29082114689486765,19,73308927179275,2014
Mato Grosso do Sul,2555,3150000000242,-,44,961383941775324,2,4867870782715955,5,380307558882194,7,7970509909808934,48,370942246774483,2,278344170771998,1,287366252567389,17,089532589115212,2014
Mato Grosso,3219,154999999967,-,33,438048608048298,3,4929938567077641,7,6155108320639275,6,159863351089526,58,209013888390693,1,9583003587199519,0,73742667149791907,20,792652590658793,2014
Goiás,6520,4870000000647,-,38,509414923593496,2,7335493106295106,6,6363349178250406,5,4408203469487066,54,47875253206611,1,9247283334929115,0,37549762651416141,36,366151222772153,2014
Distrito Federal,2805,773999999979,-,42,563235076873767,2,7654686586856916,7,0077821478026134,6,3456474541178975,49,875637305100952,2,2039700184577873,0,55334547022573188,21,863191914118385,2014
Rondônia,1688,1380000000336,-,30,462078845268262,3,7690100084089004,5,4329944168749877,9,5298647692469309,63,410959375163543,1,9858208965883417,0,69396736269319925,34,062003356221787,2015
Acre,816,22999999998751,-,17,18051875019875,5,2050811883582808,4,240231582586599,10,229081125660706,78,220111650106162,1,3452478316935534,0,35913801710657911,31,337050427971864,2015
Amazonas,3736,1399999999603,-,16,418347882839555,4,9631874482363489,2,1030532141493761,10,992022934408528,80,189007005889763,1,1541249125650959,1,2895918971205829,29,219505750724906,2015
Roraima,456,5420000000035,-,22,124481822928026,5,9025059432376343,6,8496094833991235,7,2851885681722601,66,26273330750098,2,3061542465534863,4,7631753861716888,25,376948834453245,2015
Pará,8204,0070000002052,-,18,990009390701363,3,2792816688760844,7,7500882875245862,6,1142891887363575,72,84479118785994,1,0030731100550345,0,41192910820234768,23,229333793064193,2015
Amapá,772,10600000000204,-,22,5495934822716,5,8263742470893405,10,899495853732576,13,605560138237237,65,394088147048606,2,6510069805474958,1,1568225169467712,64,404698050136005,2015
Tocantins,1490,781999999977,-,21,498035732350026,5,2255042209328053,9,7028760247727437,6,6772643627256416,68,312652491449967,1,7029489176774655,0,48643575142650441,26,713323876949769,2015
Maranhão,6882,6400000002395,-,17,409192498841442,2,5180121741937356,9,6946718165813657,4,2964919886200725,72,608193127339788,0,80616346690980445,0,28794255723964879,20,278697081301029,2015
Piauí,3237,6910000001044,-,20,243832518622309,4,8967092315154153,6,6679355014090529,7,5335149563668811,73,007025453759425,1,5307708380497826,8,1206526208476792E-2,49,331028810699344,2015
Ceará,8901,9250000001721,-,28,401345204031561,2,470129834825773,3,9089702402368158,6,0301771336423915,67,308098569001586,0,99511117688811412,0,38158598672874461,19,575280762537577,2015
Rio Grande do Norte,3393,8139999999958,-,39,82034461922818,2,5367235853055106,4,3681742209289016,9,0110063900200785,55,666988313053402,1,940031799912413,0,14449284678890986,46,703004549669807,2015
Paraíba,3911,8870000000661,-,37,035461017588197,2,1432169137288839,4,3107609567990366,7,5700695565131442,58,437277493316131,1,3470936264230677,0,21650053229770866,31,243239091243403,2015
Pernambuco,9261,237000000152,-,30,908647923801965,2,7574259542959885,4,7823859698769704,6,7319460521036119,63,994242100411952,1,3574105928908782,0,31472400590931354,18,883985345508485,2015
Alagoas,3272,4600000000569,-,24,630157167574428,3,1336022376165751,4,3955198218868317,5,9539467644567932,70,391797374854647,1,1669731381370743,0,58252563568419979,37,446714421900573,2015
Sergipe,2216,3089999999911,-,22,389338495443678,4,4285523901971944,7,2712901183306444,6,4509881013554926,70,021657395217147,1,5275868329995252,0,31771399100730707,27,852335302123421,2015
Bahia,14609,867000000038,-,19,4436225505398,3,0726045413107173,19,27164373871188,3,1224645313684558,60,755432151709385,1,0250597621489737,0,52930155903924059,18,035045640668191,2015
Minas Gerais,20638,664000000223,-,43,222683036424264,1,7153354671827534,9,8349233370194327,3,6336049118073617,46,769505105661658,1,4608279897283105,0,17288852089445841,19,938306958689989,2015
Espírito Santo,3829,3849999999966,-,39,708046873591861,2,5549932293475663,9,7365971838096979,5,1686939789157762,50,229303484150087,1,8362432031061786,0,32605245844861525,18,434267141494136,2015
Rio de Janeiro,16840,637999999963,-,44,853258321578728,1,5711944767905783,12,428193467984753,3,1624950009766715,42,502720784595162,1,5291516974979198,0,21582742584121048,19,195802977175916,2015
São Paulo,44350,313000000686,-,63,133210118821317,1,1989277801598754,6,4841279472687283,4,6728599217892288,28,72838055658212,2,4112317456226413,1,6542813773272849,9,6759512351930237,2015
